OpportunityId,Title,Agency,Source,PostDate,CloseDate,Description,TotalScore,CreatedAt,UpdatedAt,OpportunityUrl
0004cca98257d00e833221827a517540,"USS HOWARD (DDG-83) FY25 5C1 Bundle #1 (Yokosuka, Japan)",Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=94a3ec0a086d429dbe5e3677bfe9bc2f,18.30,2025-01-14T16:44:17.1970000,2025-01-14T16:44:17.1970000,
0011d719f663bf0541cf9fbebda709ae,"53--PIN,STRAIGHT,HEADLE",Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=eb19e160f66748cda6e25b3ffd655ab3,11.52,2025-01-14T16:44:03.6200000,2025-01-14T16:44:03.6200000,
0012f488d5f478fe3511aa5632ac4ebb,"Mechanistic links between diet, lipid metabolism, and tumor growth and progression (UH2 Clinical Trial Not Allowed)",National Institutes of Health,Grants.gov,2024-10-30T00:00:00.0000000,2025-10-24T00:00:00.0000000,"Through this Notice of Funding Opportunity (NOFO) is to request applications that propose mechanistic investigations of the links between diet, lipid metabolism and tumor growth and progression. It is anticipated that this program will support fundamental studies designed to identify and define the molecular mechanisms through which lipid metabolism mediates tumor growth and progression, focusing specifically on the central role lipids play in linking diet with the biology of cancer; bridge the historically divided fields of nutrition and molecular metabolism; and stimulate research and tool development in this emerging area, which faces particular challenges because of the complexity of lipid biochemistry. For this announcement, unpublished preliminary data are limited to one figure, comprising no more than one-half page, to facilitate the entry of qualified new investigators to the field.",5.09,2025-01-14T16:44:19.2330000,2025-01-14T16:44:19.2330000,
001f87dbdf68fd455f8590a5a976e278,RFI on Sustainable Agricultural Water Management in Guatemala Activity,Guatemala USAID-Guatemala City,Grants.gov,2025-01-08T00:00:00.0000000,2025-01-23T00:00:00.0000000,"USAID/Guatemala seeks information to support the feasibility assessment and design of the Sustainable Water Management (SWM) activity. This RFI is intended to gather insights from organizations experienced in agricultural and multiple-use water resource management, climate adaptation, and infrastructure development, specifically those with relevant expertise in Guatemala or similar regions. Responses will inform USAID in developing a detailed plan to address irrigation and water resource limitations affecting smallholder farmers, especially in the Western Highlands and the departments of Alta and Baja Verapaz.Please note the following:&#9679; This RFI is issued solely for information and planning purposes. It does not constitute a Notice of Funding Opportunity (NOFO) or a commitment from USAID. Responses to this RFI are voluntary and will be used solely for informational purposes.&#9679; Responding to this RFI will neither confer an advantage nor preclude any organization or individual from participating in any subsequent RFA/RFP/RFTOP. All comments received will be strictly for information-gathering and planning purposes.&#9679; Responses to this RFI are non-binding on the parties involved.&#9679; Submission of information in response to this RFI is voluntary, and the U.S. Government will not compensate any respondent for the cost incurred in providing information.",17.16,2025-01-14T16:44:21.6900000,2025-01-14T16:44:21.6900000,
003129800653c292465469ed8ce123ad,59--ANTENNA,Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4222415bf5724654bac5847d0c124d26,14.15,2025-01-14T16:44:17.8700000,2025-01-14T16:44:17.8700000,
009b283e680ca34e690a1fa97c2cf391,2025 Public Diplomacy Small Grants Program,U.S. Mission to North Macedonia,Grants.gov,2024-12-20T00:00:00.0000000,2025-06-16T00:00:00.0000000,"1. Goals and Objectives The U.S. Embassy in North Macedonia Public Diplomacy Section (PDS) invites proposals for programs that strengthen people-to-people ties between the U.S. and North Macedonia through cultural and exchange programming that highlights shared values and promotes bilateral cooperation. All programs must include an American cultural element, or connection with American expert/s, organization/s, or institution/s in a specific field that will promote increased understanding of U.S. policy and perspectives. Examples of PDS Small Grants Program programs include, but are not limited to: &#183; Academic and professional lectures, seminars and speaker programs &#183; Artistic and cultural workshops, joint performances and exhibitions &#183; Cultural heritage conservation and preservation programs &#183; Professional and academic exchanges and programs &#183; Programs focused on entrepreneurship and innovation &#183; Programs focused on empowerment of youth and underserved communities across the societal and cultural spectrum &#183; Programs focused on democratic processes and values &#183; Programs focused on gender issues &#183; Programs focused on human and equal rights &#183; Programs focused on critical thinking in media consumption &#183; Programs focused on strengthening resiliency against false information and malign influence &#183; Programs focused on safeguarding natural resources and ecosystems &#183; Programs that support North Macedonia&#8217;s Euro-Atlantic integration process Priority Program Areas: The objectives of the Public Diplomacy Grant Program are to promote positive relations between North Macedonia and the United States; to reinforce shared values; and to connect North Macedonia&#8217;s emerging leaders to the American people. We fund projects that: &#8226; Help North Macedonia&#8217;s youth build and develop skills to improve their potential through innovative science (e.g. health awareness), technology, engineering, arts, and math (STEM) programs, as well as through entrepreneurship programs and vocational training. &#8226; Encourage North Macedonia&#8217;s youth to participate in civic life through social entrepreneurship, volunteerism, and community engagement. &#8226; Strengthen understanding of U.S. values and institutions; highlight U.S. culture, including American Studies, English language teaching/learning, and study in the United States; as well as support diversity through the acceptance of minority groups, including individuals with special needs or handicapping conditions, and other areas of mutual interest. Participants and Audiences: US Mission North Macedonia encourages not only diverse applicants to apply to our grants programs but would also like to see diverse target audiences and trainers. Diversity can be defined by different geographic regions, ethnicities, religious orientations, gender, physical disabilities including visual, hearing, speech, and other physically handicapping conditions. The following types of programs are not eligible for funding: &#183; Printing or promotion of books or manuscripts &#183; Travel to the United States for professional development &#183; Promotion of local arts scenes &#183; Projects that are inherently political in nature or that contain the appearance of partisanship/support to individual or single-party electoral campaigns &#183; Charitable or development activities &#183; Construction programs &#183; Programs that support specific religious activities &#183; Fund-raising campaigns &#183; Lobbying for specific legislation or programs &#183; Scientific research &#183; Commercial or trade activities &#183; Individual travel to conferences and meetings &#183; Social welfare projects &#183; Programs intended primarily for the growth or institutional development of the organization &#183; Ongoing salary costs and office equipment &#183; Paying to complete activities that were begun with other funds or &#183; Programs that duplicate existing programs",17.12,2025-01-14T16:44:21.2700000,2025-01-14T16:44:21.2700000,
009e268b31798e019e6b6f039be35588,Translational Neural Devices (R61/R33 - Clinical Trial Optional),National Institutes of Health,Grants.gov,2024-10-29T00:00:00.0000000,2027-01-29T00:00:00.0000000,"The purpose of this Notice of Funding Opportunity (NOFO) is to encourage investigators to pursue translational activities and small clinical studies to advance the development of therapeutic, and diagnostic devices for disorders that affect the nervous or neuromuscular systems. Activities supported in this program include implementation of clinical prototype devices, non-clinical safety and efficacy testing, design verification and validation activities, obtaining an Investigational Device Exemption (IDE) for a Significant Risk (SR) study or Institutional Review Board (IRB) approval for a Non-Significant Risk (NSR) study, as well as a subsequent small clinical study. The clinical study is expected to provide information about the device function or final design that cannot be practically obtained through additional non-clinical assessments (e.g., bench top or animal studies) due to the novelty of the device or its intended use. This NOFO is a milestone-driven cooperative agreement program and will involve participation of NIH program staff in negotiating the final project plan before award and monitoring of research progress.",11.06,2025-01-14T16:44:19.2330000,2025-01-14T16:44:19.2330000,
00b02128ebd56afc9d5108d8122cc911,"NATO Business Opportunity: Support to Protected Business Network (PBN) Capability Program Implementation – Project 0, Discover and Accelerate",Unknown,SAM.gov,2025-01-14T00:00:00.0000000,2099-12-31T23:59:59.0000000,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=7fac78f9050f4ebb93f752340e152971,14.02,2025-01-14T16:44:17.3600000,2025-01-14T16:44:17.3600000,
00bc7b267ff81ed6a2bee9a1512d2f01,Assay Development and Screening for Discovery of Validated Chemical Hits for Brain Disorders (R01 Clinical Trial Not Allowed),National Institutes of Health,Grants.gov,2024-11-06T00:00:00.0000000,2026-05-08T00:00:00.0000000,"The objective of this Notice of Funding Opportunity (NOFO) is to stimulate research in 1) discovery and development of novel, small molecules for their potential use in studying disease treatment relevant to psychiatric disorders; and 2) to generate new insight into the biology of relevant diseases and processes that have yet to be validated as important drug targets.",8.42,2025-01-14T16:44:19.4670000,2025-01-14T16:44:19.4670000,
00bda9fa4c4a7bff448717fa5f23c99f,FY2024 Historic Preservation Fund - Semiquincentennial Grants,National Park Service,Grants.gov,2024-12-18T00:00:00.0000000,2025-03-19T00:00:00.0000000,"The National Park Service&#8217;s (NPS) Semiquincentennial Grant Program will support the physical preservation of a broad variety of cultural resources associated with the founding of America as a nation in commemoration of the country&apos;s semiquincentennial (250th anniversary). These grants are funded by the Historic Preservation Fund (HPF), administered by the NPS, and will fund physical preservation to properties listed in or eligible for the National Register of Historic Places, including buildings, sites, structures, objects, or historic districts. Grants are awarded through a competitive process and do not require non-Federal match, though match may be considered as a competitive factor. State owned properties will receive priority per Congressional directive.",15.23,2025-01-14T16:44:21.0700000,2025-01-14T16:44:21.0700000,
